ダウンロードした時刻：2023/07/10 14:53:36,,,,,,,,
,,,,,,,,
,福井,福井,福井,福井,福井,福井,福井,福井
,小浜,大野,福井,敦賀,小浜,武生（越前）,今庄（南越前町）,九頭竜（大野）
年月日時,積雪(cm),積雪(cm),積雪(cm),積雪(cm),積雪(cm),積雪(cm),積雪(cm),積雪(cm)
,,,,,,,,
2018/2/3 1:00,13,59,31,7,13,27,61,158
2018/2/3 2:00,13,59,31,7,13,27,61,158
2018/2/3 3:00,13,58,31,7,13,27,60,157
2018/2/3 4:00,13,58,31,7,13,27,60,157
2018/2/3 5:00,13,58,31,7,13,27,60,157
2018/2/3 6:00,13,58,31,7,13,27,60,157
2018/2/3 7:00,13,58,31,7,13,27,60,157
2018/2/3 8:00,13,58,31,7,13,27,61,157
2018/2/3 9:00,13,60,31,7,13,27,62,158
2018/2/3 10:00,13,60,31,7,13,27,62,159
2018/2/3 11:00,13,61,31,7,13,26,63,159
2018/2/3 12:00,12,61,31,7,12,26,62,159
2018/2/3 13:00,12,60,31,7,12,26,62,159
2018/2/3 14:00,12,60,30,7,12,26,62,159
2018/2/3 15:00,12,59,30,6,12,27,62,158
2018/2/3 16:00,11,58,30,6,11,26,61,158
2018/2/3 17:00,11,58,30,6,11,26,63,158
2018/2/3 18:00,11,58,30,6,11,26,63,158
2018/2/3 19:00,10,58,30,6,10,26,62,158
2018/2/3 20:00,11,58,30,6,11,26,62,158
2018/2/3 21:00,11,58,31,6,11,26,62,158
2018/2/3 22:00,11,57,31,6,11,26,62,158
2018/2/3 23:00,11,57,32,8,11,26,63,159
2018/2/4 0:00,11,57,32,8,11,27,66,159
2018/2/4 1:00,11,62,32,9,11,29,69,161
2018/2/4 2:00,11,66,34,8,11,28,70,164
2018/2/4 3:00,11,66,34,8,11,28,70,166
2018/2/4 4:00,11,66,34,8,11,29,70,165
2018/2/4 5:00,11,66,34,8,11,30,70,165
2018/2/4 6:00,11,70,36,8,11,30,69,165
2018/2/4 7:00,11,72,36,8,11,30,69,165
2018/2/4 8:00,11,72,35,8,11,30,69,165
2018/2/4 9:00,11,72,36,8,11,29,68,165
2018/2/4 10:00,11,71,35,8,11,29,68,164
2018/2/4 11:00,11,69,35,8,11,29,67,163
2018/2/4 12:00,10,67,35,7,10,29,67,163
2018/2/4 13:00,10,64,34,6,10,27,66,162
2018/2/4 14:00,10,61,33,6,10,27,65,160
2018/2/4 15:00,10,61,35,5,10,26,65,159
2018/2/4 16:00,10,65,37,5,10,31,65,160
