ダウンロードした時刻：2023/07/12 17:50:13

,福井,福井,福井,福井,福井,福井,福井,福井
年月日,最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,,,,
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2018/1/1,0,1,8,1,0,1,8,1
2018/1/2,0,0,8,1,0,1,8,1
2018/1/3,2,0,8,1,2,0,8,1
2018/1/4,4,0,8,1,2,0,8,1
2018/1/5,0,0,8,1,0,1,8,1
2018/1/6,0,1,8,1,0,1,8,1
2018/1/7,0,1,8,1,0,1,8,1
2018/1/8,0,1,8,1,0,1,8,1
2018/1/9,0,1,8,1,0,1,8,1
2018/1/10,9,0,8,1,10,0,8,1
2018/1/11,24,0,8,1,17,0,8,1
2018/1/12,50,0,8,1,32,0,8,1
2018/1/13,77,0,8,1,29,0,8,1
2018/1/14,76,0,8,1,0,1,8,1
2018/1/15,60,0,8,1,0,1,8,1
2018/1/16,49,0,8,1,0,1,8,1
2018/1/17,33,0,8,1,0,1,8,1
2018/1/18,24,0,8,1,0,1,8,1
2018/1/19,20,0,8,1,0,1,8,1
2018/1/20,17,0,8,1,0,1,8,1
2018/1/21,15,0,8,1,0,1,8,1
2018/1/22,20,0,8,1,8,0,8,1
2018/1/23,21,0,8,1,8,0,8,1
2018/1/24,33,0,8,1,13,0,8,1
2018/1/25,38,0,8,1,8,0,8,1
2018/1/26,49,0,8,1,13,0,8,1
2018/1/27,48,0,8,1,1,0,8,1
2018/1/28,44,0,8,1,0,1,8,1
2018/1/29,38,0,8,1,4,0,8,1
2018/1/30,53,0,8,1,22,0,8,1
2018/1/31,53,0,8,1,2,0,8,1
2018/2/1,37,0,8,1,0,1,8,1
2018/2/2,33,0,8,1,0,1,8,1
2018/2/3,32,0,8,1,2,0,8,1
2018/2/4,40,0,8,1,12,0,8,1
2018/2/5,82,0,8,1,47,0,8,1
2018/2/6,136,0,8,1,54,0,8,1
2018/2/7,147,0,8,1,28,0,8,1
2018/2/8,142,0,8,1,1,0,8,1
2018/2/9,129,0,8,1,0,1,8,1
2018/2/10,113,0,8,1,0,1,8,1
2018/2/11,90,0,8,1,7,0,8,1
2018/2/12,92,0,8,1,9,0,8,1
2018/2/13,109,0,8,1,21,0,8,1
2018/2/14,104,0,8,1,0,1,8,1
2018/2/15,87,0,8,1,0,1,8,1
2018/2/16,80,0,8,1,0,1,8,1
2018/2/17,78,0,8,1,1,0,8,1
2018/2/18,78,0,8,1,0,1,8,1
2018/2/19,74,0,8,1,0,1,8,1
2018/2/20,71,0,8,1,0,1,8,1
2018/2/21,68,0,8,1,0,1,8,1
2018/2/22,66,0,8,1,0,1,8,1
2018/2/23,64,0,8,1,2,0,8,1
2018/2/24,60,0,8,1,0,1,8,1
2018/2/25,58,0,8,1,0,1,8,1
2018/2/26,56,0,8,1,0,1,8,1
2018/2/27,52,0,8,1,0,1,8,1
2018/2/28,48,0,8,1,0,1,8,1
