,date,day_of_week,time,area,residence,age,gender,population
1347,20180203,16,400,533577883,18201,-1,-1,24
1348,20180203,16,400,533577884,18201,-1,-1,17
1349,20180203,16,400,533577971,18201,-1,-1,14
1350,20180203,16,400,533577972,18201,-1,-1,18
1351,20180203,16,400,533577973,18201,-1,-1,18
1352,20180203,16,400,533577974,18201,-1,-1,20
1353,20180203,16,400,533577981,18201,-1,-1,15
1354,20180203,16,400,533577982,18201,-1,-1,25
1355,20180203,16,400,533577983,18201,-1,-1,13
1356,20180203,16,400,533577984,18201,-1,-1,16
2246,20180203,16,400,533661512,18201,-1,-1,12
2250,20180203,16,400,533661514,18201,-1,-1,30
3285,20180203,16,400,533671761,18201,-1,-1,26
3286,20180203,16,400,533671762,18201,-1,-1,20
3288,20180203,16,400,533671764,18201,-1,-1,16
3300,20180203,16,400,533671794,18201,-1,-1,22
3320,20180203,16,400,533671844,18201,-1,-1,68
3324,20180203,16,400,533671853,18201,-1,-1,12
3326,20180203,16,400,533671854,18201,-1,-1,11
3329,20180203,16,400,533671862,18201,-1,-1,20
3330,20180203,16,400,533671863,18201,-1,-1,52
3331,20180203,16,400,533671864,18201,-1,-1,21
3332,20180203,16,400,533671871,18201,-1,-1,13
3334,20180203,16,400,533671873,18201,-1,-1,21
3335,20180203,16,400,533671874,18201,-1,-1,12
3338,20180203,16,400,533671883,18201,-1,-1,20
3339,20180203,16,400,533671884,18201,-1,-1,20
3340,20180203,16,400,533671891,18201,-1,-1,13
3341,20180203,16,400,533671892,18201,-1,-1,17
3342,20180203,16,400,533671893,18201,-1,-1,57
3343,20180203,16,400,533671894,18201,-1,-1,50
3348,20180203,16,400,533671911,18201,-1,-1,58
3349,20180203,16,400,533671912,18201,-1,-1,67
3350,20180203,16,400,533671913,18201,-1,-1,38
3351,20180203,16,400,533671914,18201,-1,-1,51
3352,20180203,16,400,533671921,18201,-1,-1,30
3353,20180203,16,400,533671922,18201,-1,-1,20
3356,20180203,16,400,533671933,18201,-1,-1,16
3359,20180203,16,400,533671942,18201,-1,-1,110
