area,population,population_12,population_18
533577973,23,24,21
533577974,21,20,11
533577981,0,20,19
533577982,28,11,19
533577983,20,14,22
533577984,16,15,12
533630634,0,13,14
533630651,0,10,14
533630732,11,14,16
533630734,12,0,0
533630741,0,10,0
533630752,0,15,16
533630754,11,13,14
533630761,26,16,21
533630773,0,0,15
533651863,0,10,0
533661512,32,48,13
533661514,90,97,54
533661523,30,30,13
533661723,0,15,0
533661812,0,11,0
533661821,25,45,13
533661823,13,30,0
533661824,0,17,0
533661831,0,24,0
533661832,16,25,16
533661834,0,0,12
533661853,0,12,0
533661931,0,10,0
533661933,0,14,0
533661942,0,12,0
533661994,10,0,0
533671024,0,12,0
533671032,11,17,0
533671243,0,12,0
533671244,10,15,0
533671251,10,0,0
533671253,0,22,16
533671341,0,16,13
533671342,13,21,12
533671343,0,17,13
533671344,13,43,0
533671351,10,28,25
533671353,24,22,11
533671354,0,18,10
533671363,0,18,15
533671441,0,13,10
533671442,0,22,0
533671444,0,21,12
533671452,15,16,11
533671461,0,22,0
533671541,0,13,0
533671542,15,21,0
533671543,0,12,12
533671544,10,0,11
533671551,19,20,0
533671553,0,16,0
533671613,0,20,0
533671614,13,18,0
533671623,0,13,0
533671634,0,0,10
533671641,34,42,30
533671642,0,13,10
533671643,20,31,22
533671644,0,15,0
533671651,0,24,18
533671653,11,38,19
533671654,20,28,12
533671663,0,17,0
533671702,0,13,0
533671711,0,10,0
533671713,0,12,0
533671732,0,0,11
533671734,0,11,16
533671741,0,0,13
533671742,14,0,0
533671743,0,27,25
533671744,17,22,0
533671751,16,22,0
533671752,28,55,24
533671754,13,24,12
533671761,16,47,44
533671762,21,20,28
533671764,14,12,19
533671794,17,11,17
533671832,0,11,0
533671841,0,14,0
533671842,17,13,15
533671844,55,72,67
533671852,0,15,0
533671853,22,10,20
533671854,19,13,23
533671862,24,21,13
533671863,51,53,30
533671864,0,23,16
533671871,19,27,11
533671873,20,19,22
533671874,18,27,19
533671883,0,15,15
533671884,20,15,18
533671891,26,18,15
533671892,23,13,11
533671893,45,55,50
533671894,39,43,52
533671911,53,53,36
533671912,47,38,68
533671913,40,38,41
533671914,67,72,75
533671921,29,16,19
533671922,25,19,23
533671923,25,18,12
533671924,16,21,17
533671933,17,19,24
533671942,83,107,113
533671943,10,16,13
533671944,219,182,215
533671951,100,69,82
533671952,75,52,54
533671953,236,248,264
533671954,200,180,198
533671961,101,70,62
533671962,51,41,15
533671963,159,174,155
533671964,79,90,71
533671971,15,21,17
533671972,13,12,19
533671973,16,50,19
533671974,20,13,20
533671981,20,14,14
533671982,13,0,15
533671983,16,21,26
533671984,32,17,17
533671991,40,42,46
533671992,41,45,59
533671993,19,13,25
533671994,14,17,23
533672174,13,23,12
533672264,15,18,24
533672271,17,11,0
533672272,20,24,19
533672273,18,13,12
533672274,24,15,19
533672362,16,13,22
533672364,11,21,24
533672371,20,16,12
533672372,0,13,20
533672373,12,23,17
533672374,11,18,15
533672381,27,30,18
533672383,16,14,23
533672471,12,21,18
533672472,26,22,16
533672473,13,21,13
533672474,20,14,13
533672481,14,21,19
533672482,17,15,13
533672483,15,12,13
533672484,15,20,18
533672491,19,14,13
533672492,15,14,19
533672493,20,11,14
533672494,21,18,15
533672562,17,18,16
533672563,15,0,17
533672564,20,13,17
533672571,11,14,15
533672572,10,15,16
533672573,14,19,24
533672574,22,14,19
533672581,20,17,19
533672582,24,25,16
533672583,11,23,21
533672584,16,10,16
533672591,17,24,22
533672592,25,13,16
533672593,15,12,16
533672594,16,14,19
533672623,27,16,18
533672632,25,18,19
533672634,20,20,11
533672643,18,16,12
533672644,20,15,23
533672652,19,28,22
533672654,14,17,16
533672661,19,20,10
533672662,18,24,18
533672663,15,16,17
533672664,20,19,16
533672671,18,22,14
533672672,10,17,0
533672673,21,19,13
533672674,27,15,20
533672681,18,16,26
533672682,23,23,15
533672683,22,21,18
533672684,10,25,14
533672691,17,11,18
533672692,20,21,24
533672693,17,20,22
533672694,17,23,0
533672703,22,15,0
533672704,18,18,14
533672712,18,14,20
533672713,15,19,17
533672714,23,16,15
533672721,25,27,13
533672722,19,14,23
533672723,23,21,21
533672724,26,24,15
533672731,21,19,15
533672732,14,15,22
533672733,19,10,17
533672734,18,15,19
533672741,13,18,22
533672742,23,15,16
